id,name
1202,Ke Liu
1203,Robert L. Tokar
1204,Brain D. McVey
1205,Bruce Graham
1206,David J. Willshaw
1207,Minoru Asogawa
1208,Michael J. Turmon
1209,Michiaki Taniguchi
121,Geoffrey E. Hinton
1210,Tom Brashers-Krug
1211,J?rg Bruske
1212,Gerald Sommer
1213,N. Barkai
1214,Suguna Pappu
1215,Malcolm Slaney
1216,Peter T. Szymanski
1217,Jim Bergen
1218,Donald W. Mathis
1219,Michiro Negishi
122,James L. McClelland
1220,Morten With Pedersen
1221,Lars Kai Hansen
1222,Toru Ohira
1223,Teresa Serrano-Gotarredona
1224,Bernab? Linares-Barranco
1225,Jos? Luis Huertas
1226,V. Sundareswaran
1227,Lucia M. Vaina
1228,Irfan A. Essa
1229,J?rg Kindermann
123,Richard C. Windecker
1230,Jesper Vedelsby
1231,A. J. Holmes
1232,J. Hajto
1233,M. J. Rose
1234,Joseph Sirosh
1235,Risto Miikkulainen
1236,Dawei W. Dong
1237,Cesare Furlanello
1238,Diego Giuliani
1239,Edmondo Trentin
124,Joshua Alspector
1240,E. Erwin
1241,Magnus Stensmo
1242,Todd S. Braver
1243,Steve Lawrence
1244,Andrew D. Back
1245,Dimitris I. Tsioutsias
1246,Ehud Zohary
1247,Leslie S. Smith
1248,Alexander Grunewald
1249,Susan L. McCabe
125,Robert B. Allen
1250,Michael J. Denham
1251,Peter Auer
1252,Mark Herbster
1253,Manfred K. Warmuth
1254,Carl Edward Rasmussen
1255,Tsutomu Nakai
1256,Tatsuo Morimoto
1257,Ryu Kaihara
1258,Hiroyuki Nakahara
1259,Ralph Etienne-Cummings
126,Victor Hu
1260,James W. Howse
1261,Chaouki T. Abdallah
1262,Gregory L. Heileman
1263,Dirk Ormoneit
1264,Anke Meyer-B?se
1265,Benjamin Van Roy
1266,John N. Tsitsiklis
1267,Dan J. Kershaw
1268,Amir A. Handzel
1269,Philip N. Sabes
127,Srinagesh Satyanarayana
1270,Ssu-Hsin Yu
1271,Anuradha M. Annaswamy
1272,R. Timothy Edwards
1273,Ethem Alpaydin
1274,S. N. Laughton
1275,Pascal Koiran
1276,Rasmus S. Petersen
1277,John G. Taylor
1278,Yishay Mansour
1279,Sigal Sahar
128,Harry Wechsler
1280,Andrew W. Senior
1281,Charles F. Stevens
1282,Klaus-Robert M?ller
1283,Howard Hua Yang
1284,Stefan M. R?ger
1285,Marina Meila
1286,Tong Xu
1287,Vasken Bohossian
1288,Krste Asanovic
1289,Brian Kingsbury
129,George Lee Zimmerman
1290,David Johnson
1291,Luiz Pessoa
1292,William D. Ross
1293,Christopher L. Fry
1294,Andrea Drees
1295,Bambang Parmanto
1296,Howard R. Doyle
1297,Jeffrey C. Jackson
1298,Mark Craven
1299,Angelo Marcantonio
13,Amir F. Atiya
130,Lyle J. Borg-Graham
1300,N. Iwan Santoso
1301,A. David Redish
1302,Lucas C. Parra
1303,Soren Kamaric Riis
1304,Alistair Ferguson
1305,Theo Sabisch
1306,Paul Kaye
1307,Laurence C. Dixon
1308,Hamid Bolouri
1309,Jacek Szymanski
131,J. Bernasconi
1310,Scott Makeig
1311,Tzyy-Ping Jung
1312,Peter Stone
1313,Manuela M. Veloso
1314,Marcelo Blatt
1315,Shai Wiseman
1316,S. Yasui
1317,T. Furukawa
1318,M. Yamada
1319,T. Saito
132,L. Richard Carley
1320,David P. Helmbold
1321,Jyrki Kivinen
1322,Samuel P. M. Choi
1323,Dit-Yan Yeung
1324,Stefan C. Kremer
1325,Salah El Hihi
1326,Steven Finch
1327,Milos Cekic
1328,Bernard Lemari?
1329,Michel Gilloux
133,G?rard Dreyfus
1330,Manuel Leroux
1331,Jonathan Baxter
1332,Atsushi Sato
1333,Keiji Yamada
1334,Asriel E. Levin
1335,Andrzej Cichocki
1336,Marian Stewart Bartlett
1337,Jan Larsen
1338,Joseph C. Hager
1339,Paul Ekman
134,Isabelle Guyon
1340,Jefferson A. Coelho Jr.
1341,R. Sitaraman
1342,Lizhong Wu
1343,Michael DeWeese
1344,Maha Kadirkamanathan
1345,Jeff G. Schneider
1346,Giacomo Indiveri
1347,J?rg Kramer
1348,Francois Gingras
1349,Siegfried B?s
135,Jean-Pierre Nadal
1350,Gregory J. Zelinsky
1351,Mary M. Hayhoe
1352,Hugh T. Blair
1353,Serguei A. Semenov
1354,Irina B. Shuvalova
1355,Robert Tibshirani
1356,Markus Svens?n
1357,Geoffrey J. Gordon
1358,Geoffrey B. Jackson
1359,Jun Tani
136,L?on Personnaz
1360,Kevin J. Cherkauer
1361,Kenji Fukumizu
1362,J?rg A. Walter
1363,Thomas P. Rebotier
1364,Samuel R. H. Joseph
1365,Robert H. Dodier
1366,Yoonsuck Choe
1367,Yoky Matsuoka
1368,Tsungnan Lin
1369,Peter Ti?o
137,Nathan H. Brown Jr.
1370,Brendan J. Frey
1371,Ansgar H. L. West
1372,Richard Kempter
1373,Hermann Wagner
1374,Raymond J. Wang
1375,Ren? Gourley
1376,David J. Miller
1377,Ajit V. Rao
1378,Kenneth Rose
1379,Peter K. Campbell
138,Andr? J. Noest
1380,Michael Dale
1381,Jieyu Zhao
1382,Richard K. Alley
1383,Robert S. Hubbard
1384,Steven Rehfuss
1385,Dan W. Hammerstrom
1386,David MacKay
1387,Henry A. Rowley
1388,Takeo Kanade
1389,Timothy P. Allen
139,Ronald Rosenfeld
1390,Ari Juels
1391,Martin Wattenberg
1392,Andr? van Schaik
1393,Eric Fragni?re
1394,Eric A. Vittoz
1395,David W. Opitz
1396,Kukjin Kang
1397,Jong-Hoon Oh
1398,K. Y. Michael Wong
1399,Silvio P. Sabatini
14,Christopher L. Scofield
140,David S. Touretzky
1400,Fabio Solari
1401,Giacomo M. Bisio
1402,Curtis Padgett
1403,Tom Heskes
1404,Andreas Ziehe
1405,Adam Krzyzak
1406,Tam?s Linder
1407,Ron Papka
1408,James P. Callan
1409,Steven E. Golowich
141,Norberto M. Grzywacz
1410,Alex J. Smola
1411,Kazumi Saito
1412,Juan K. Lin
1413,David G. Grier
1414,Cazhaow S. Quazaz
1415,Gerhard Rigoll
1416,Christoph Neukirchen
1417,Nick Littlestone
1418,Chris Mesterharm
1419,Ferdinand Peper
142,Franklin R. Amthor
1420,Hideki Noda
1421,Friedrich Leisch
1422,Thomas C. Ferr?e
1423,Ben A. Marcotte
1424,Trevor Mundel
1425,Alexander Dimitrov
1426,Christopher J. Merz
1427,Michael J. Pazzani
1428,Eric A. Wan
1429,Alex T. Nelson
143,David B. Parker
1430,Assaf J. Zeevi
1431,Ron Meir
1432,Robert J. Adler
1433,W. Fritz Kruger
1434,Hasan S. Uyar
1435,Kevin A. Archie
1436,Chanchal Chatterjee
1437,Stefano Monti
1438,Gregory F. Cooper
1439,Michael S. Gray
144,Mark A. Gluck
1440,Pekka Orponen
1441,Dimitri P. Bertsekas
1442,A. P. Dunmur
1443,D. M. Titterington
1444,Michal Morciniec
1445,Joumana Ghosn
1446,Fabrizio Gabbiani
1447,Walter Metzner
1448,Ralf Wessel
1449,Jitendra Malik
145,Eric S. Reifsnider
1450,Scott Davies
1451,David Barber
1452,Achim Stahlberger
1453,Martin Riedmiller
1454,Diego Sona
1455,Antonina Starita
1456,Te-Won Lee
1457,Russell H. Lambert
1458,Maximilian Riesenhuber
1459,Linda Kaufman
146,Dean Pomerleau
1460,Graham Brightwell
1461,Claire Kenyon
1462,H?l?ne Paugam-Moisy
1463,Mark Mathieson
1464,Daniel D. Lee
1465,Yu-Ming Chiang
1466,Larry S. Yaeger
1467,Richard F. Lyon
1468,Brandyn J. Webb
1469,Pierre Band
147,Allen M. Waxman
1470,Joel Bert
1471,John Grace
1472,Prof. Bernhard Sch?lkopf
1473,S?ren Halkj?r
1474,Ole Winther
1475,Athanassios Siapas
1476,David Somers
1477,Ian T. Nabney
1478,Nada Matic
1479,Hung-Li Tseng
148,Michael Seibert
1480,Paul S. Bradley
1481,W. Nick Street
1482,Hagai Attias
1483,Christoph E. Schreiner
1484,Timothy X. Brown
1485,Joseph Sill
1486,Laura Martignon
1487,Kathryn B. Laskey
1488,Daniel S. Clouse
1489,Alex R?bel
149,Robert K. Cunningham
1490,Eric A. Hansen
1491,Shlomo Zilberstein
1492,J?rgen Fritsch
1493,Gary Cook
1494,Kunihiko Iizuka
1495,Masayuki Miyamoto
1496,Hirofumi Matsui
1497,Ryotaro Kamimura
1498,Kagan Tumer
1499,Nirmala Ramanujam
15,Stuart Mackie
150,Jian Wu
1500,Rebecca R. Richards-Kortum
1501,Joydeep Ghosh
1502,Tonia G. Morris
1503,Andrew Blake
1504,Michael Isard
1505,William T. Freeman
1506,Jos? A. F. Leite
1507,Edwin R. Hancock
1508,Alan D. Blair
1509,Arthur Flexer
1510,Emanuela Bricolo
1511,Nikos K. Logothetis
1512,Frans Coetzee
1513,Virginia L. Stonick
1514,Lucky Vidmar
1515,James R. Cavanaugh
1516,J. Anthony Movshon
1517,Gregory R. Galperin
1518,Andr? Elisseeff
1519,Simon J. Thorpe
152,Bahram Nabet
1520,Jacques Gautrais
1521,Andrew M. Finch
1522,Richard C. Wilson
1523,Yair Weiss
1524,Shih-Cheng Yen
1525,Yoram Baram
1526,Kechen Zhang
1527,Ernest Wan
1528,Don Bone
1529,Thorsteinn S. R?gnvaldsson
153,Robert B. Darling
1530,Aapo Hyv?rinen
1531,Erkki Oja
1532,Akaysha C. Tang
1533,Andreas M. Bartels
1534,Halina Abramowicz
1535,Ury Naftaly
1536,Carmit Sahar-Pikielny
1537,Philipp H?fliger
1538,David Lowe
1539,Michael E. Tipping
154,Robert B. Pinter
1540,Sheng Ma
1541,A. Neil Burgess
1542,Elie Bienenstock
1543,Stuart Geman
1544,Daniel Potter
1545,Jeremy S. De Bonet
1546,Charles Lee Isbell Jr.
1547,Stephen Grossberg
1548,James R. Williamson
1549,Udo Ernst
155,Patric K. Stanton
1550,Fred Wolf
1551,Andrew D. J. Cross
1552,Archisman Rudra
1553,Laurance T. Maloney
1554,Tom J. Richardson
1555,J. C. Lagarias
1556,Girish N. Patel
1557,Jeremy H. Holleman
1558,Mazin G. Rahim
1559,Wee Sun Lee
156,Sharad Singhal
1560,Llew Mason
1561,Colin Humphries
1562,Martin J. McKeown
1563,Vicente Iragui
1564,Avner Priel
1565,David A. Kessler
1566,Nir Levy
1567,Zehra Cataltepe
1568,Malik Magdon-Ismail
1569,Thomas Briegel
157,Lance Wu
1570,J. Eliot B. Moss
1571,Paul E. Utgoff
1572,John Cavazos
1573,Doina Precup
1574,Darko Stefanovic
1575,Carla E. Brodley
1576,David Scheeff
1577,Jens Kohlmorgen
1578,Zili Liu
1579,Rolf D. Henkel
158,C. L. Winter
1580,Lucy E. Hadden
1581,Eyal Cohen
1582,Nello Cristianini
1583,Paul Rodriguez
1584,Bertram Emil Shi
1585,Kwok Fai Hui
1586,Kari Torkkola
1587,Reid R. Harrison
1588,Dominik H?rnel
1589,Heiko Neumann
159,Martin J. Johnson
1590,Magnus Rattray
1591,Ran El-Yaniv
1592,Shai Fine
1593,Friedrich T. Sommer
1594,G?nther Palm
1595,Jean-Franc Isabelle
1596,David J. Foster
1597,Richard G. M. Morris
1598,Peter Marbach
1599,Oliver Mihatsch
16,Hans Peter Graf
160,Nigel M. Allinson
1600,Miriam Schulte
1601,Csaba Szepesv?ri
1602,Ronald Parr
1603,Stuart J. Russell
1604,Jeffrey F. Monaco
1605,David G. Ward
1606,Sethu Vijayakumar
1607,Steve A. Chien
1608,Andre Stechert
1609,Darren Mutz
161,Kevin J. Moon
1610,Jeanne C. Milostan
1611,Erik D. Lumer
1612,Neil D. Lawrence
1613,Cyril Latimer
1614,Yuzo Hirai
1615,Fernando Lozano
1616,Sam T. Roweis
1617,Matthew N. Dailey
1618,Nicholas D. Socci
1619,William E. Vinje
162,Timothy S. Wilkinson
1620,Jack L. Gallant
1621,R?mi Munos
1622,Paul Bourgine
1623,Daniel Willett
1624,Paul Mineiro
1625,Herman Verrelst
1626,Yves Moreau
1627,Joos Vandewalle
1628,Dirk Timmerman
1629,David Andre
163,Dorothy A. Mighell
1630,Nir Friedman
1631,Ernst R. Dow
1632,Hilbert J. Kappen
1633,Francisco de Borja Rodr?guez Ortiz
1634,M. Anthony Lewis
1635,Randall C. O'Reilly
1636,Kenneth A. Norman
1637,Kimmo Kiviluoto
1638,Joel Ratsaby
1639,Volodya Vovk
164,M. Pavel
1640,David Cohn
1641,Alan D. Marrs
1642,Peter Sykacek
1643,Georg Dorffner
1644,Peter Rappelsberger
1645,Josef Zeitlhofer
1646,Peter M. Williams
1647,Mark Kvale
1648,William W. Cohen
1649,Yuansheng Xiong
165,Van Henkle
1650,Chulan Kwon
1651,Daniel H. Lange
1652,Hava T. Siegelmann
1653,Hillel Pratt
1654,Gideon F. Inbar
1655,Akira Watanabe
1656,Xubo B. Song
1657,Harvey Kasdan
1658,Rapha?l Feraud
1659,Olivier Bernier
166,W. R. Gardner
1660,Ruth J. Williams
1661,Sophie Den?ve
1662,Bernhard Schottky
1663,Van H. Vu
1664,R. Christopher DeCharms
1665,Matthias Burger
1666,Thore Graepel
1667,Paul W. Goldberg
1668,John F. Houde
1669,Donghui Cai
167,Donnie Henderson
1670,Maneesh Sahani
1671,John S. Pezaris
1672,Richard A. Andersen
1673,Brian S. Blais
1674,Harel Z. Shouval
1675,Jake Ryan
1676,Meng-Jang Lin
1677,Antonio Turiel
1678,Germ?n Mato
1679,N?stor Parga
168,R. E. Howard
1680,Michael J. Berry II
1681,Markus Meister
1682,Theresa Long
1683,Jo?o F. G. de Freitas
1684,Andrew H. Gee
1685,Stephan Pareigis
1686,Ricardo Vig?rio
1687,Veikko Jousm?ki
1688,Matti H?m?l?inen
1689,Riitta Hari
169,Wayne E. Hubbard
1690,Thomas K. Landauer
1691,Darrell Laham
1692,Peter W. Foltz
1693,Mark Sitton
1694,Martha J. Farah
1695,Randall R. Spangler
1696,Jim Hawkins
1697,Laurent Itti
1698,Jochen Braun
1699,Dale K. Lee
17,Daniel B. Schwartz
170,Lawrence D. Jackel
1700,Adam J. Grove
1701,Dan Roth
1702,Nuno Vasconcelos
1703,Andrew Lippman
1704,Amit Manwani
1705,Marcus Held
1706,Gareth James
1707,Grace Wahba
1708,Xiwu Lin
1709,Fangyu Gao
171,Henry S. Baird
1710,Dong Xiang
1711,Ronald Klein
1712,Barbara Klein
1713,Benoit Huet
1714,Colin Campbell
1715,Nikhil Bhushan
1716,Nobuo Suematsu
1717,Akira Hayashi
1718,G. Bjorn Christianson
1719,Chiang-Jung Pu
172,Eric Mjolsness
1720,Sebastian Mika
1721,Matthias Scholz
1722,Gunnar R?tsch
1723,Dmitry Rinberg
1724,Hanan Davidowitz
1725,Pierre Baraduc
1726,Emmanuel Guigon
1727,Yves Burnod
1728,Ping Zhou
1729,Jim Austin
173,Gene Gindi
1730,John Kennedy
1731,Eimei Oyama
1732,Susumu Tachi
1733,Giancarlo Ferrari-Trecate
1734,Viktor Gruev
1735,Mohammed Abdel Ghani
1736,Yves Grandvalet
1737,St?phane Canu
1738,Dan Cornford
1739,Jan Puzicha
174,P. Anandan
1740,Jaakko Hollm?n
1741,Mauro Birattari
1742,Gianluca Bontempi
1743,Hugues Bersini
1744,John K. Williams
1745,Hyoungsoo Yoon
1746,Ben North
1747,Marcello Pelillo
1748,James M. Coughlan
1749,Vitaly Maiorov
175,Hong C. Leung
1750,Ravi K. Sharma
1751,Misha Pavel
1752,P?ter Adorj?n
1753,Matthew Brand
1754,Grigoris I. Karakoulas
1755,Frances S. Chance
1756,Sacha B. Nelson
1757,Thomas A. Busey
1758,Karvel K. Thornber
1759,Lance R. Williams
176,Victor Zue
1760,Adrian Trapletti
1761,Eero P. Simoncelli
1762,Odelia Schwartz
1763,James Waskiewicz
1764,Nicholas J. Adams
1765,Peter E. Latham
1766,Tony Jebara
1767,Matthew M. Williamson
1768,Roderick Murray-Smith
1769,Volker Hansen
177,John P. Miller
1770,Ruth Rosenholtz
1771,Jung-Wook Cho
1772,Andrew R. Webb
1773,Klaus Prank
1774,Julia B?rger
1775,Alexander von zur M?hlen
1776,Georg Brabant
1777,Christof Sch?fl
1778,Gideon Dror
1779,Eric Granger
178,Yoshua Bengio
1780,Mark A. Rubin
1781,William W. Streilein
1782,Mohammad A. Al-Ansari
1783,Ronald J. Williams
1784,Matthew Saffell
1785,Gal Chechik
1786,Alan A. Stocker
1787,Amy McGovern
1788,Nuria Oliver
1789,Barbara Rosario
179,R?gis Cardin
1790,Radek Grzeszczuk
1791,Demetri Terzopoulos
1792,Liqing Zhang
1793,N. S. Skantzos
1794,C. F. Beckmann
1795,Yoshiyuki Kabashima
1796,Ralf Herbrich
1797,Peter Bollmann-Sdorra
1798,Robert Moll
1799,Theodore J. Perkins
18,John S. Denker
180,Renato de Mori
1800,Marissa Westerfield
1801,Jeanne Townsend
1802,Eric Courchesne
1803,Thilo-Thomas Frie?
1804,Leemon C. Baird III
1805,Francesco Vivarelli
1806,David W. Jacobs
1807,Yoram Gdalyahu
1808,Kristin P. Bennett
1809,Ayhan Demiriz
181,Piero Cosi
1810,Masahiko Haruno
1811,Jette Randlov
1812,A. D?ring
1813,Xavier Boyen
1814,Daphne Koller
1815,Ke Chen
1816,Baback Moghaddam
1817,Jeremy Frank
1818,Michael Werman
1819,Sergey Ioffe
182,Jordan B. Pollack
1820,David A. Forsyth
1821,Arnaud Doucet
1822,Hui Tong
1823,Lyndon J. Brown
1824,Gregory E. Gonye
1825,James S. Schwaber
1826,Christian Piepenbrock
1827,John Loch
1828,Toshiyuki Tanaka
1829,Akito Sakurai
183,Randall D. Beer
1830,H. C. Rae
1831,Balaraman Ravindran
1832,Sven Koenig
1833,P. Jonathon Phillips
1834,Claudio Gentile
1835,Patrik O. Hoyer
1836,Masa-aki Sato
1837,Shin Ishii
1838,Wim Wiegerinck
1839,Sen Song
184,Hillel J. Chiel
1840,Kevin R. Wheeler
1841,Atam P. Dhawan
1842,Didier Herschkowitz
1843,Bal?zs K?gl
1844,Kenneth Zeger
1845,Bradley C. Love
1846,Egon C. Pasztor
1847,Shiro Ikeda
1848,John E. Hogden
1849,Pedro A. d. F. R. H?jen-S?rensen
1850,Oliver Landolt
1851,Steve Gyger
1852,Uri Rokni
1853,Andrew Y. Ng
1854,Rembrandt Bakker
1855,Jaap C. Schouten
1856,Marc-Olivier Coppens
1857,Floris Takens
1858,Cor M. van den Bleek
1859,Shivakumar Vaithyanathan
186,Moshe Kam
1860,Byron Dom
1861,Panayiota Poirazi
1862,Tai Sing Lee
1863,Stella X. Yu
1864,Xavier Giannakopoulos
1865,Noam Slonim
1866,Sayan Mukherjee
1867,Hynek Hermansky
1868,Yuzuru Sato
1869,Elad Schneidman
1870,Idan Segev
1871,Xiaohui Xie
1872,David A. McAllester
1873,Miguel ?. Carreira-Perpi??n
1874,Claude Nadeau
1875,Holger Schoner
1876,Martin Stetter
1877,Ingo Schie?l
1878,Jennifer S. Lund
1879,Niall McLoughlin
188,Tal Grossman
1880,Olivier Chapelle
1881,Nevin Lianwen Zhang
1882,Andres C. Rodriguez
1883,K. Jarrod Millman
1884,Guy J. Brown
1885,Masashi Sugiyama
1886,Hidemitsu Ogawa
1887,Matthew J. Beal
1888,Jonathan Q. Li
1889,Andrew R. Barron
189,Ronny Meir
1890,Lars Schwabe
1891,Justinian P. Rosca
1892,Joseph ? Ruanaidh
1893,Alexander Jourjine
1894,Scott Rickard
1895,Rudolph van der Merwe
1896,Jessica D. Bayliss
1897,Dimitris Margaritis
1898,John R. Hershey
1899,David J. Crisp
19,Manoel Fernando Tenorio
190,Eytan Domany
1900,Shan Parfitt
1901,Tong Zhang
1902,Gennady S. Cymbalyuk
1903,Ronald L. Calabrese
1904,Dale Schuurmans
1905,Michael Schmitt
1906,C. W. H. Mace
1907,Lehel Csat?
1908,Ernest Fokou?
1909,Song Li
191,Michael C. Mozer
1910,Nicholas R. Howe
1911,Michael E. Leventon
1912,Jason Weston
1913,Tatsuto Murayama
1914,Renato Vicente
1915,Yuansong Liao
1916,Alfonso Renart
1917,Edmund T. Rolls
1918,Tobias Mann
1919,Rebecca Casta?o
192,Alexandr B. Kirillov
1920,Barbara J. Wold
1921,Tim A. Hely
1922,Michael Zibulevsky
1923,Michael P. Weisend
1924,Parry Husbands
1925,Yee Whye Teh
1926,Kevin P. Murphy
1927,Pavel Laskov
1928,Edgar A. Brown
1929,Takashi Onoda
1930,Matthias Seeger
1931,Andrew D. Brown
1932,Yi Li
1933,Philip M. Long
1934,Dmitri B. Chklovskii
1935,Nebojsa Jojic
1936,Xiuwen Liu
1937,Craig T. Jin
1938,Anna Corderoy
1939,Simon Carlile
1940,Volker Roth
1941,Volker Steinhage
1942,Nigel Duffy
1943,Christophe Andrieu
1944,Zhiyong Yang
1945,Oliver B. Downs
1946,Ming-Hsuan Yang
1947,Narendra Ahuja
1948,Richard H. Wolniewicz
1949,David B. Grimes
195,Ye. I. Kovalenko
1950,Eric Johnson
1951,Howard Kaushansky
1952,Martin J. Wainwright
1953,Josef Zihl
1954,Si Wu
1955,Paat Rusmevichientong
1956,Brian Sallans
1957,Mark Zlochin
1958,Peter N. Steinmetz
1959,Christian W. Eurich
196,V. I. Makarenko
1960,Stefan D. Wilke
1961,Helmut Schwegler
1962,Nicholas Roy
1963,Alexander Roitershtein
1964,Asa Ben-Hur
1965,John W. Fisher III
1966,Alexander T. Ihler
1967,Marcus R. Frean
1968,S. Sundararajan
1969,S. Sathiya Keerthi
197,V. A. Chulaevsky
1970,Sebastian Risau-Gusman
1971,Mirta B. Gordon
1972,Diane J. Litman
1973,Marilyn A. Walker
1974,Gerardina Hern?ndez
1975,Sham Kakade
1976,Mike Schuster
1977,Ton Weijters
1978,Antal van den Bosch
1979,Eric O. Postma
198,V. I. Kryukov
1980,Gianluca Donato
1981,Vijay R. Konda
1982,Gavin Smith
1983,Tony Robinson
1984,Stephen Piche
1985,Greg Martin
1986,Gene Boe
1987,Doug Johnson
1988,Mark Gerules
1989,Koby Crammer
199,Martin I. Sereno
1990,Zolt?n L. ?v?ri
1991,Penio S. Penev
1992,Richard H. R. Hahnloser
1993,George Saon
1994,Mukund Padmanabhan
1995,Simon Tong
1996,Mark A. Smith
1997,Karen L. Anderson
1998,Toniann Pitassi
1999,Liam Pedersen
2,Suguru Arimoto
20,Paolo Gaudiano
